Observation #,Easting,Northing,GPS #,Waypoint,Photo,Camera,Cover Class,Incline,Family,Identify Plant,Match Found?,Match Status?,genus,species,LAT,LONG,Number,Number Total (vascular),Number Unique,Plant Description,Abstract,Team,Correct ID,Notes,QC
"MJV1-14-BIO-VT-4,4-3G",609138.42 m E,3900052.58 m N,,,N,,Gravel (2-50mm),0,Cactaceae,Ferocactus cylindraceus ,Yes,Keep,Ferocactus,cylindraceus,"35° 14' 15.389""","-115° 48' 1.930""",1,1,1,Barrel cactus,"Partly sunny/cloudy day, strong, cold winds","Fisher, Macias, Baughman",Y,,SM
"MJV8-16-BIO-VT-6,2-3C",609286.29 m E,3899850.60 m N,4,35,86,Brian Rivas,Sand,N/A,Polemoniaceae,Gilia cana spp. specifomis,Yes,Keep,Gilia,cana,"35° 14' 8.776""","-115° 47' 56.177""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-3D",609286.20 m E,3899843.50 m N,4,37,87,Brian Rivas,Live Plant,N/A,Polemoniaceae,Gilia cana spp. specifomis,Yes,Keep,Gilia,cana,"35° 14' 8.545""","-115° 47' 56.184""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-3E",609292.81 m E,3899846.02 m N,4,40,"MJV8-16-BIO-VT-6,2-4E",SMcClure,Cobble,N/A,Polemoniaceae,Gilia cana spp. specifomis,Yes,Keep,Gilia,cana,"35° 14' 8.624""","-115° 47' 55.921""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-3E_2",609296.14 m E,3899841.62 m N,4,41,"MJV8-16-BIO-VT-6,2-3E_2",SMcClure,Live Plant,N/A,Polemoniaceae,Gilia cana spp. specifomis,Yes,Keep,Gilia,cana,"35° 14' 8.480""","-115° 47' 55.792""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-3F",609294.84 m E,3899836.62 m N,4,43,"MJV8-16-BIO-VT-6,2-3F",SMcClure,Gravel,N/A,Polemoniaceae,Gilia cana spp. specifomis,Yes,Keep,Gilia,cana,"35° 14' 8.319""","-115° 47' 55.845""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-3I",609289.11 m E,3899813.47 m N,4,49,"MJV8-16-BIO-VT-6,2-3I",SMcClure,Basalt,N/A,Polemoniaceae,Gilia cana spp. specifomis,Yes,Keep,Gilia,cana,"35° 14' 7.569""","-115° 47' 56.083""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-E",609275.14 m E,3899884.96 m N,4,19,75,Brian Rivas,Gravel,N/A,Polemoniaceae,Gilia cana spp. specifomis ,Yes,Keep,Gilia,cana,"35° 14' 9.895""","-115° 47' 56.602""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Polemoniaceae,Gilia cana spp. specifomis ,Yes,Keep,Gilia,cana,"35° 14' 8.740""","-115° 47' 56.425""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-J",609277.37 m E,3899843.50 m N,4,27,83,Brian Rivas,Live Plant,N/A,Polemoniaceae,Gilia cana spp. specifomis ,Yes,Keep,Gilia,cana,"35° 14' 8.549""","-115° 47' 56.533""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-H",609280.08 m E,3899852.85 m N,4,21,81,Brian Rivas,Gravel,N/A,Polemoniaceae,Gilia cana spp. specifomis flower,Yes,Keep,Gilia,cana,"35° 14' 8.851""","-115° 47' 56.422""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV8-16-BIO-VT-6,2-2I",609282.69 m E,3899908.24 m N,4,33,241,L. Yang,Gravel,N/A,Polemoniaceae,Gilia cana ssp. speciformis,Yes,Keep,Gilia,cana,"35° 14' 10.648""","-115° 47' 56.292""",1,27,4,"purple with yellow center, darker purple around center",,Yang/Bedard,Y,,SM
"MJV8-16-BIO-VT-6,2-I",609280.03 m E,3899849.42 m N,4,26,82,Brian Rivas,Basalt,N/A,Polemoniaceae,Gilia cana ssp. speciformis,Yes,Keep,Gilia,cana,"35° 14' 8.740""","-115° 47' 56.425""",,,,Showy Gilia,,Rivas/S.Gregory,Y,,SM
"MJV3-15-BIO-VT-2,1-3J",608933.69 m E,3899732.98 m N,1,26,37-39,D. Espericueta,Rock,N/A,,Enceliopsis argophylla,Yes,Keep,Hieracium,nudicaule,"35° 14' 5.096""","-115° 48' 10.181""",2,~9,4,Sunray,"Boulder, gravel, basalt and granite rocks, litter",Espericueta & Reyes,,,
"MJV4-15-BIO-VT-6,5-6A",609337.54 m E,3900143.51 m N,2,210,"6,5-6A",,Live Plant,N/A,Nyctaginaceae,Mirabilis laevis var. villosa,Yes,Keep,Mirabilis,laevis,"35° 14' 18.262""","-115° 47' 54.009""",1,,,"Wishbone Bush - green flat spade shaped leaves, fuzzy with sticky film, flower podd stickier than leaves",,Rodriquez/Baughman,Y,Unknown 27A,
"MJV3-15-BIO-VT-7,3-1A",609428.19 m E,3899999.63 m N,1,78,"MJV3-15-BIO-VT-7,3-1A",,Sand,N/A,Cactaceae,Optunia basilaris,Yes,Keep,Opuntia,basilaris,"35° 14' 13.557""","-115° 47' 50.493""",1,3,2,Beavertail Cactus,"lots of litter, small basalt rock",Espericueta & Reyes,Y,,SM
"MJV3-15-BIO-VT-3,2-5C",609018.23 m E,3899876.76 m N,1,45,"7,8",,Plant,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 9.730""","-115° 48' 6.768""",5,35,4,Desert Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-5E",609017.78 m E,3899891.28 m N,1,47,"11,12",,Rock,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 10.201""","-115° 48' 6.779""",1,18,4,Desert Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-6B",609029.83 m E,3899850.83 m N,1,50,17-19,,Rock,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 8.884""","-115° 48' 6.322""",1,12,4,Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-2A",608983.16 m E,3899849.05 m N,1,53,"25,26",,Dirt,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 8.844""","-115° 48' 8.168""",1,13,4,Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-3B",608994.04 m E,3899852.84 m N,1,60,"40,41",,Plant,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 8.963""","-115° 48' 7.736""",1,4,4,Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-4C",609010.11 m E,3899841.05 m N,1,71,"116,117",,Rock,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 8.574""","-115° 48' 7.106""",1,4,4,Desert Cholla,litter,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-4D",609010.27 m E,3899834.95 m N,1,72,"118,119",,Gravel,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 8.376""","-115° 48' 7.103""",1,23,3,Desert Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-3,2-4I",609017.42 m E,3899808.08 m N,1,77,"130,131",,Plant,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 7.501""","-115° 48' 6.833""",1,5,4,Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-7,3-2E",609380.10 m E,3899995.83 m N,1,87,22-24,,Rock,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 13.452""","-115° 47' 52.397""",2,49,5,Desert Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-7,3-4B",609431.73 m E,3899963.18 m N,1,97,"1,2",DE phone,Rock,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 12.372""","-115° 47' 50.370""",2,10,5,Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-7,3-4E",609447.97 m E,3899959.49 m N,1,100,10-Aug,DE phone,Gravel,N/A,Cactaceae,Optunia bigelovii,Yes,Keep,Opuntia,bigelovii,"35° 14' 12.246""","-115° 47' 49.729""",3,89,6,Teddy Bear Cholla,,Espericueta & Reyes,,,
"MJV3-15-BIO-VT-2,1-A",608899.54 m E,3899711.60 m N,2,19,"2,1A",B. Rodriquez,Rock,N/A,Asteraceae,Perityle emory,Yes,Keep,Perityle,emoryi,"35° 14' 4.416""","-115° 48' 11.542""",6,41,5,Rock daisy,,Yamaguchi & Rodriquez,Y,,SM
"MJV3-15-BIO-VT-2,1-8B",608884.10 m E,3899776.97 m N,2,50,"2,1-8B",B. Rodriquez,Gravel,N/A,Boraginaceae,Phacelia crenulata var. minutiflora,Yes,Keep,Phacelia,crenulata,"35° 14' 6.544""","-115° 48' 12.121""",1,2,2,Clefleaf Wildheliotrope,,Yamaguchi & Rodriquez,Y,Unknown 11A,SM
"MJV4-15-BIO-VT-2,2-2D",608878.98 m E,3899854.89 m N,1,486,478,,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 9.074""","-115° 48' 12.287""",1,77,11,Mojave rabbitbrush,,"Brittanie Rodriguez, Jenna Baughman",Y,,SM
"MJV4-15-BIO-VT-6,5-6C",609340.46 m E,3900150.20 m N,2,212,"6,5-6C",,Gravel,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 18.478""","-115° 47' 53.891""",1,,,Mojave rabbitbrush,,Rodriquez/Baughman,Y,,SM
"MJV4-15-BIO-VT-2,2-1B",608871.07 m E,3899846.48 m N,1,483,"MJV4-15-BIO-VT-2,2-1B-1.jpg,
MJV4-15-BIO-VT-2,2-1B-2.jpg,
MJV4-15-BIO-VT-2,2-1B-Unk4.jpg",,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 8.805""","-115° 48' 12.604""",1,57,11,Mojave rabbitbrush,,"Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-1C",608869.98 m E,3899846.46 m N,1,485,"MJV4-15-BIO-VT-2,2-1C.jpg,
MJV4-15-BIO-VT-2,2-1C-Unk5.jpg",,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 8.804""","-115° 48' 12.647""",1,103,4,Mojave rabbitbrush,,"Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-1D",608868.80 m E,3899838.79 m N,1,487,"MJV4-15-BIO-VT-2,2-1D.jpg",,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 8.556""","-115° 48' 12.697""",1,52,4,Mojave rabbitbrush,,"Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-1F",608871.38 m E,3899828.62 m N,1,489,"MJV4-15-BIO-VT-2,2-1F.jpg",,Live Plant,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 8.225""","-115° 48' 12.600""",2,26,6,Mojave rabbitbrush,Lots of loose rocks.,"Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-1G",608869.93 m E,3899827.83 m N,1,490,None,,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 8.200""","-115° 48' 12.658""",1,25,5,Mojave rabbitbrush,"Some pointy-looking dandelion fluff. Looser rocks, lots of gravel.","Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-1J",608872.11 m E,3899858.25 m N,2,188,"MJV4-15-BIO-VT-2,2-1J.jpg",,Sand,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 9.186""","-115° 48' 12.557""",1,5,2,Mojave rabbitbrush,"Lots of litter, much flatter land. Temp is significantly hotter.","Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-3A",608871.00 m E,3899823.00 m N,4,495,"MJV4-15-BIO-VT-2,2-3A.jpg,
MJV4-15-BIO-VT-2,2-3A-Unk8.jpg",,Live plant,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 8.043""","-115° 48' 12.618""",1,44,7,Mojave rabbitbrush,,"Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-9F",608891.92 m E,3899876.12 m N,2,238,"MJV4-15-BIO-VT-2,2-9F.jpg",,Live plant,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 9.758""","-115° 48' 11.765""",1,1,4,Mojave rabbitbrush,"Very moist sand, tiny pool, no tadpoles, white crust, dried moss, live green moss and brown moss in the water. This moss has a lot of bubbles.","Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-9K",608912.18 m E,3899893.78 m N,2,244,"MJV4-15-BIO-VT-2,2-9K.jpg",,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 10.324""","-115° 48' 10.955""",3,10,3,Mojave rabbitbrush,Lots of small-medium rocks.,"Espericueta, Rice",Y,,SM
"MJV4-15-BIO-VT-2,2-9L",608905.59 m E,3899881.83 m N,2,246,"MJV4-15-BIO-VT-2,2-9L.jpg",,Rock,N/A,Asteraceae,Ericameria paniculata,Yes,Keep,Solidago,juliae,"35° 14' 9.938""","-115° 48' 11.221""",1,31,15,Mojave rabbitbrush,"Opposite slope, unknown winged insect",,Y,,SM
"MJV3-15-BIO-VT-2,1-2C",608902.03 m E,3899716.40 m N,2,22,"2,1-2C",B. Rodriquez,Plant,N/A,Amaranthaceae,Tidestromia suffruticose var. oblongifolia,Yes,Keep,Tidestromia,suffruticosa,"35° 14' 4.571""","-115° 48' 11.441""",6,11,4,Honeysweet,,Yamaguchi & Rodriquez,Y,Unknown 6A,SM
"MJV1-14-BIO-VT-1,1-10B",608867.55 m E,3899700.46 m N,,,Mjv114_ bio_vt_kjs_unk3.jpg,,Bare Ground,0,Poaceae,Cynodon dactylon,Yes,Keep,Cynodon,dactylon,"35° 14' 4.067""","-115° 48' 12.812""",1,1,1,Bermuda grass,"Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-10C",608866.98 m E,3899702.11 m N,,,"Mjv114_bio_vt_kjs_Opuntia_basilaris.jpg, Mjv114_bio_vt_kjs_Opuntia_basilaris_insects.jpg",,Gravel (2-50mm),0,Cactaceae,Opuntia basilaris,Yes,Keep,Opuntia,basilaris,"35° 14' 4.121""","-115° 48' 12.834""",1,5,4,Beavertail Cactus,"Sunny day, little wind","Fisher, Macias, Baughman",Y,,JLP
"MJV1-14-BIO-VT-1,1-10C",608866.98 m E,3899702.11 m N,,,mjv114_bio_vt_kjs_unk1.jpg,,Gravel (2-50mm),0,Asteraceae,Baccharis salicina,Yes,Keep,Baccharis,salicina,"35° 14' 4.121""","-115° 48' 12.834""",1,5,4,Mulefat,"Sunny day, little wind","Fisher, Macias, Baughman",Y,Unknown 1,SM
"MJV1-14-BIO-VT-1,1-10C",608866.98 m E,3899702.11 m N,,,Mjv114_ bio_vt_kjs_unk3.jpg,,Gravel (2-50mm),0,Poaceae,Cynodon dactylon,Yes,Keep,Cynodon,dactylon,"35° 14' 4.121""","-115° 48' 12.834""",1,5,4,Bermuda grass,"Sunny day, little wind","Fisher, Macias, Baughman",,,
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,Mjv114_bio_vt_kjs_eriogonum_inflatum_young.jpg,,Gravel (2-50mm),~10°,Polygonaceae,Eriogonum Inflatum,Yes,Keep,Eriogonum,Inflatum,"35° 14' 4.185""","-115° 48' 12.820""",1,32,8,"Young, Desert Trumpet aka Native American Pipeweed","Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,"Mjv114_bio_vt_kjs_Phacelia_distans_1.jpg, Mjv114_bio_vt_kjs_Phacelia_distans_2.jpg",,Gravel (2-50mm),~10°,Boraginaceae,Phacelia Distans,Yes,Keep,Phacelia,distans,"35° 14' 4.185""","-115° 48' 12.820""",1,32,8,"Purple flowers, aka scorpion weed, aka wild heliotrope","Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,"mjv114_bio_vt_kjs_Plagiobothrys_arizonicus_young.jpg, mjv114_bio_vt_kjs_Plagiobothrys_arizonicus _small.jpg, mjv114_bio_vt_kjs_Plagiobothrys_arizonicus _1.jpg, mjv114_bio_vt_kjs_Plagiobothrys_arizonicus _2.jpg, mjv114_bio_vt_kjs_Plagiobothrys_arizonicus _3.jpg",,Gravel (2-50mm),~10°,Boraginaceae,Plagiobothrys Arizonicus,Yes,Keep,Plagiobothrys,arizonicus,"35° 14' 4.185""","-115° 48' 12.820""",5,32,8,"Very small/juvenile, opposite leaves, linear, furry. Arizona Popcornflower","Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,"Mjv114_bio_vt_kjs_Salvia_dorrii_1.jpg, Mjv114_bio_vt_kjs_Salvia_dorrii_2.jpg",,Gravel (2-50mm),~10°,Lamiaceae,Salvia Dorrii,Yes,Keep,Salvia,dorrii,"35° 14' 4.185""","-115° 48' 12.820""",7,32,8,"Encelia-like, light grey-green leaves","Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,mjv114_bio_vt_kjs_unk1.jpg,,Gravel (2-50mm),~10°,Asteraceae,Baccharis salicina,Yes,Keep,Baccharis,salicina,"35° 14' 4.185""","-115° 48' 12.820""",1,32,8,Mulefat,"Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,Mjv114_bio_vt_kjs_unk11.jpg,,Gravel (2-50mm),~10°,Brassicaceae,Lepidium densiflorum,Yes,Keep,Lepidium,densiflorum,"35° 14' 4.185""","-115° 48' 12.820""",14,32,8,Common Pepperweed,"Sunny day, little wind","Fisher, Macias, Baughman",Y,Unknown 11,SM
"MJV1-14-BIO-VT-1,1-10D",608867.32 m E,3899704.11 m N,,,"Mjv114_bio_vt_kjs_unk21.jpg, Mjv114_bio_vt_kjs_unk21_fruit_1.jpg, Mjv114_bio_vt_kjs_unk21_fruit_2.jpg",,Gravel (2-50mm),~10°,Boraginaceae,Pectocarya penicillata,Yes,Keep,Pectocarya,penicillata,"35° 14' 4.185""","-115° 48' 12.820""",2,32,8,Hairy Leaved Comb Bur,"Sunny day, little wind","Fisher, Macias, Baughman",Y,Unknown 21,SM
"MJV8-16-BIO-VT-6,2-2G",609285.32 m E,3899893.74 m N,4,29,,L. Yang,Rock/gravel,N/A,Asteraceae, Stylocline micropoides,Yes,Keep,#N/A,#N/A,"35° 14' 10.176""","-115° 47' 56.195""",5,28,5,Desert Nest Straw,,Yang/Bedard,N,,
"MJV1-14-BIO-VT-1,1-10E",608866.82 m E,3899708.32 m N,,,"Mjv114_bio_vt_kjs_Salvia_dorrii_1.jpg, Mjv114_bio_vt_kjs_Salvia_dorrii_2.jpg",,Gravel (2-50mm),~10°,Lamiaceae,Salvia Dorrii,Yes,Keep,Salvia,dorrii,"35° 14' 4.322""","-115° 48' 12.838""",4,10,2,"Encelia-like, light grey-green leaves","Sunny day, little wind","Fisher, Macias, Baughman",Y,,SM
"MJV1-14-BIO-VT-1,1-1C",608774.31 m E,3899711.42 m N,,,"MJV1-14-BIO-VT-1,1-1C.jpg",,Sand/Rock,0,Saururaceae,Anemopsis californica,Yes,Keep,Anemopsis,californica,"35° 14' 4.459""","-115° 48' 16.495""",1,5,3,"Yerba Mansa, near stream","Sandy substrate with several dark and light boulders, alkaline minerals visible","Espericueta, Rodriguez",Y,,SM
"MJV4-15-BIO-VT-6,5-1F",609284.00 m E,3900177.00 m N,4,290,"MJV4-15-BIO-VT-6,5-1F.jpg,
MJV4-15-BIO-VT-6,5-1F-Unk24.jpg,
MJV4-15-BIO-VT-6,5-1F-Unk25.jpg",,Gravel,N/A,Fabaceae,Acmispon maritimus var. brevivexillus,Yes,Keep,Acmispon,maritimus,"35° 14' 19.370""","-115° 47' 56.111""",2,27,3,"Arizona Maresfat, green fleshy opposite leaves with tiny yellow flowers","Unknown #24 is same as previous ""needle unknown"" from MJV3 with Martin and Desiree","Espericueta, Rice",Y,Unknown 25,JP
"MJV1-14-BIO-VT-1,1-1D",608775.00 m E,3899714.00 m N,,,"MJV1-14-BIO-VT-1,1-1D.jpg",,Rock,0,Saururaceae,Anemopsis californica,Yes,Keep,Anemopsis,californica,"35° 14' 4.543""","-115° 48' 16.467""",10,11,2,"Yerba Mansa, near stream",Large boulders and some sand,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-1E",608775.90 m E,3899715.44 m N,,,"MJV1-14-BIO-VT-1,1-1E.jpg",,Live Plants,0,Saururaceae,Anemopsis californica,Yes,Keep,Anemopsis,californica,"35° 14' 4.589""","-115° 48' 16.431""",40,41,3,"Yerba Mansa, near stream",Plants and few boulders near small expression of surface water,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-1F",608776.34 m E,3899717.33 m N,,,"MJV1-14-BIO-VT-1,1-1F.jpg",,Rock,~5°,Saururaceae,Anemopsis californica,Yes,Keep,Anemopsis,californica,"35° 14' 4.650""","-115° 48' 16.412""",5,7,3,"Yerba Mansa, near stream",Mostly very large boulders with small plant and water areas,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-1G",608777.85 m E,3899720.12 m N,,,"MJV1-14-BIO-VT-1,1-1G.jpg",,Rock/Gravel,~1°,Saururaceae,Anemopsis californica,Yes,Keep,Anemopsis,californica,"35° 14' 4.740""","-115° 48' 16.351""",2,39,5,"Yerba Mansa, VERY small, premature",Boulders upslope from surface water and gravel,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2D",608778.98 m E,3899709.59 m N,,,"MJV1-14-BIO-VT-1,1-2D.jpg",,Rock,~3°,Malvaceae,Sphaeralcea ambigua,Yes,Keep,Sphaeralcea,ambigua,"35° 14' 4.398""","-115° 48' 16.312""",1,3,3,Globemallow,Several angular basalt boulders on granitic gravel. Slight incline,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2G",608779.08 m E ,3899720.00 m N,,,N,,Live Plants,?,Boraginaceae,Plagiobothrys arizonicus,Yes,Keep,Plagiobothrys,arizonicus,"35° 14' 4.736""","-115° 48' 16.303""",1,6,5,"Opposite leaves, linear, furry. Arizona Popcornflower",,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2G",608779.08 m E ,3899720.00 m N,,,N,,Live Plants,?,Cactaceae,Ferocactus cylindraceus,Yes,Keep,Ferocactus,cylindraceus,"35° 14' 4.736""","-115° 48' 16.303""",1,6,5,Barrel Cactus,,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2H",608782.44 m E,3899724.06 m N,,,"MJV1-14-BIO-VT-1,1-2H.jpg",,Gravel (2-50mm),0,Solanaceae,Nicotiana attenuata,Yes,Keep,Nicotiana,attenuata,"35° 14' 4.866""","-115° 48' 16.168""",1,14,5,Coyote Tobacco,Gravel with granitic and basaltic fragments (cobble-boulders),"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2H",608782.44 m E,3899724.06 m N,,,"MJV1-14-BIO-VT-1,1-2H.jpg",,Gravel (2-50mm),0,Asteraceae,Perityle emoryi,Yes,Keep,Perityle,emoryi,"35° 14' 4.866""","-115° 48' 16.168""",1,14,5,Rock Daisy,Gravel with granitic and basaltic fragments (cobble-boulders),"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2H",608782.44 m E,3899724.06 m N,,,"MJV1-14-BIO-VT-1,1-2H.jpg",,Gravel (2-50mm),0,Malvaceae,Sphaeralcea ambigua,Yes,Keep,Sphaeralcea,ambigua,"35° 14' 4.866""","-115° 48' 16.168""",3,14,5,Globemallow,Gravel with granitic and basaltic fragments (cobble-boulders),"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2I",608783.04 m E,3899727.95 m N,,,"MJV1-14-BIO-VT-1,1-2I.jpg",,Rock,~5°,Malvaceae,Sphaeralcea ambigua,Yes,Keep,Sphaeralcea,ambigua,"35° 14' 4.992""","-115° 48' 16.142""",2,33,4,Very small/juvenile,"Numerous basalt cobbles-boulders, smaller granitic fragments (angular), slight incline.","Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2J",608781.14 m E,3899726.92 m N,,,"MJV1-14-BIO-VT-1,1-2J.jpg",,Live Plants,~18°,Malvaceae,Sphaeralcea ambigua,Yes,Keep,Sphaeralcea,ambigua,"35° 14' 4.959""","-115° 48' 16.218""",1,16,3,Globemallow,"Clover-like leaves of Globe Mallow were found as litter in areas around quadrat, and inside of orange barrel cactusBoulders on slope","Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-2J",608781.14 m E,3899726.92 m N,,,"MJV1-14-BIO-VT-1,1-2J.jpg",,Live Plants,~18°,Agavaceae,Yucca schidigera,Yes,Keep,Yucca,schidigera,"35° 14' 4.959""","-115° 48' 16.218""",3,16,3,Mojave Yucca,Boulders on slope,"Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-3A",608791.82 m E,3899701.65 m N,,,"MJV1-14-BIO-VT-1,1-3A.jpg",,Rock,~1°,Boraginaceae,Amsinckia tessellata,Yes,Keep,Amsinckia,tessellata,"35° 14' 4.135""","-115° 48' 15.807""",1,9,5,"Checker Fiddleneck, very small, premature.","Basaltic boulders with some sand, slight incline","Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-3A",608791.82 m E,3899701.65 m N,,,"MJV1-14-BIO-VT-1,1-3A.jpg",,Rock,~1°,Boraginaceae,Plagiobothrys arizonicus,Yes,Keep,Plagiobothrys,arizonicus,"35° 14' 4.135""","-115° 48' 15.807""",1,9,5,"Opposite leaves, linear, furry. Arizona Popcornflower","Basaltic boulders with some sand, slight incline","Espericueta, Rodriguez",Y,,SM
"MJV1-14-BIO-VT-1,1-3A",608791.82 m E,3899701.65 m N,,,"MJV1-14-BIO-VT-1,1-3A.jpg",,Rock,~1°,Agavaceae,Yucca schidigera,Yes,Keep,Yucca,schidigera,"35° 14' 4.135""","-115° 48' 15.807""",1,9,5,"Mojave Yucca, Large","Basaltic boulders with some sand, slight incline","Espericueta, Rodriguez",Y,,SM
